"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"1","Agapornis_canus","Psittacidae","Psittaciformes","Agapornis_canus",13.6,11.2,7.4,12.1,13,92,41.6,50.4,45.2,49,30,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-25.61,-11.95,-19.56,46.7,412852.04,"Extant"
"2","Agapornis_fischeri","Psittacidae","Psittaciformes","Agapornis_fischeri",18.8,16.6,11,16.7,14.4,93,37.4,55.4,40.4,42.6,48.3,"Woodland",3,1,"Herbivore","Granivore","Insessorial",-4.9,-1.14,-3.02,34.28,133888.77,"Extant"
"3","Agapornis_lilianae","Psittacidae","Psittaciformes","Agapornis_lilianae",16,14.3,9.1,14.2,13.7,89.4,32.9,55.8,37,41.7,37.3,"Woodland",2,1,"Herbivore","Granivore","Generalist",-17.34,-8.37,-11.77,32.72,211312.18,"Extant"
"4","Agapornis_nigrigenis","Psittacidae","Psittaciformes","Agapornis_nigrigenis",16,13.9,9.7,14.7,13,92.8,39.4,53.4,42.5,39.8,40.5,"Woodland",2,1,"Herbivore","Granivore","Generalist",-17.78,-16.02,-16.86,25.5,14343.6,"Extant"
"5","Agapornis_personatus","Psittacidae","Psittaciformes","Agapornis_personatus",19.1,17.3,10.6,16.6,14.7,95.2,40.2,57.2,41.3,43.6,52.4,"Shrubland",2,1,"Herbivore","Granivore","Terrestrial",-8.63,-2.69,-5.94,35.62,203564,"Extant"
"6","Agapornis_pullarius","Psittacidae","Psittaciformes","Agapornis_pullarius",16.7,14.1,9.1,12.9,11.7,90.4,35.6,54.8,39.4,41.1,39.3,"Woodland",3,1,"Herbivore","Granivore","Terrestrial",-9.73,12.71,4.59,17.37,2650780.74,"Extant"
"7","Agapornis_roseicollis","Psittacidae","Psittaciformes","Agapornis_roseicollis",19.4,17.2,10.6,17.7,13.4,100.8,41.1,59.9,40.7,45.8,53.8,"Shrubland",2,1,"Herbivore","Granivore","Terrestrial",-29.62,-10.74,-20.62,16.11,455619.05,"Extant"
"8","Agapornis_swindernianus","Psittacidae","Psittaciformes","Agapornis_swindernianus",15.6,13.4,8.5,12.2,11.2,92.6,38.5,54.8,41.3,35.2,40,"Forest",1,1,"Herbivore","Omnivore","Generalist",-4.44,7.84,1.27,19.53,1494870.12,"Extant"
"9","Agapornis_taranta","Psittacidae","Psittaciformes","Agapornis_taranta",18.9,16.2,11.6,18.2,13.9,100.4,38.7,61.8,38.6,50.2,57.5,"Forest",2,1,"Herbivore","Granivore","Generalist",5.29,17.09,9.91,38.31,407732.6,"Extant"
"10","Alipiopsitta_xanthops","Psittacidae","Psittaciformes","Alipiopsitta_xanthops",33.5,26.7,16.9,25.4,19.9,193.2,51.2,142,26.7,81.6,159,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-21.94,-6.25,-14.14,-49.2,1892815.21,"Extant"
