"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"1","Conopophaga_ardesiaca","Conopophagidae","Passeriformes","Conopophaga_ardesiaca",17.5,9,5.7,4.3,30.3,70.8,9.8,61.4,13.9,45.2,26.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-22.34,-12.44,-16.59,-66.99,100334.39,"Extant"
"2","Conopophaga_aurita","Conopophagidae","Passeriformes","Conopophaga_aurita",15.6,9.3,5.8,4.4,27.2,67.7,9.6,58,14.2,32.5,26.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-11.46,7.43,-3.08,-62.26,3387968.7,"Extant"
"3","Conopophaga_castaneiceps","Conopophagidae","Passeriformes","Conopophaga_castaneiceps",20.9,9.6,5.9,4.4,29.1,74.4,8.8,65.4,11.8,42.1,27,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-12.58,8.04,-2.03,-76.24,160640.32,"Extant"
"4","Conopophaga_cearae","Conopophagidae","Passeriformes","Conopophaga_cearae",15.2,9.6,5.2,4.6,26.9,69.6,6.3,65.5,8.8,43,22,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.55,-4,-7.65,-35.9,58582.69,"Extant"
"5","Conopophaga_lineata","Conopophagidae","Passeriformes","Conopophaga_lineata",16.4,8.9,4.9,4,28.1,70,7.8,62.6,11,45.3,25.2,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-32.41,-12.65,-21.94,-48.84,1896972.3,"Extant"
"6","Conopophaga_melanogaster","Conopophagidae","Passeriformes","Conopophaga_melanogaster",20.4,11.4,6.2,5.2,32.7,79.2,9.3,70.4,11.8,41.2,42.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-15.14,-2.02,-7.84,-59.33,911253.95,"Extant"
"7","Conopophaga_melanops","Conopophagidae","Passeriformes","Conopophaga_melanops",16,9.9,5.6,4.9,25.5,65.2,8.6,55.4,13.4,28.3,20.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-27.01,-6.6,-18.32,-41.2,242500.41,"Extant"
"8","Conopophaga_peruviana","Conopophagidae","Passeriformes","Conopophaga_peruviana",17.7,9.9,6.2,4.5,25.6,65.6,11.2,54.7,17.1,30.8,23,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.73,-0.54,-7.11,-71.84,1098743.55,"Extant"
"9","Conopophaga_roberti","Conopophagidae","Passeriformes","Conopophaga_roberti",16.3,9.4,5.7,4.2,26.8,69.9,7.1,62.2,10.2,35.9,20.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.26,-0.58,-4.87,-45.11,686966.07,"Extant"
"10","Chamaeza_campanisona","Formicariidae","Passeriformes","Chamaeza_campanisona",24,13.3,5.7,6.4,38.2,97.7,13.8,83.2,14.2,63.8,90.6,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-30.16,10.47,-16.34,-55.18,1801868.24,"Extant"
"11","Chamaeza_meruloides","Formicariidae","Passeriformes","Chamaeza_meruloides",18.6,10.6,5.5,5.5,36.7,87,11.6,75.4,13.3,72,69,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-24.54,-14,-22,-44.79,103365.42,"Extant"
"12","Chamaeza_mollissima","Formicariidae","Passeriformes","Chamaeza_mollissima",20.7,11.5,5.5,5.4,37.1,89.5,11.8,79.3,12.9,66.2,72,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-17.53,6.67,-8.56,-73.2,103368.73,"Extant"
"13","Chamaeza_nobilis","Formicariidae","Passeriformes","Chamaeza_nobilis",25.1,14.2,6.9,7.3,39.1,106,16.4,88.8,15.6,59.4,123,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-14.37,3.28,-5.38,-68.05,2594439.36,"Extant"
