"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"1","Conopophaga_ardesiaca","Conopophagidae","Passeriformes","Conopophaga_ardesiaca",17.5,9,5.7,4.3,30.3,70.8,9.8,61.4,13.9,45.2,26.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-22.34,-12.44,-16.59,-66.99,100334.39,"Extant"
"2","Conopophaga_aurita","Conopophagidae","Passeriformes","Conopophaga_aurita",15.6,9.3,5.8,4.4,27.2,67.7,9.6,58,14.2,32.5,26.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-11.46,7.43,-3.08,-62.26,3387968.7,"Extant"
"3","Conopophaga_castaneiceps","Conopophagidae","Passeriformes","Conopophaga_castaneiceps",20.9,9.6,5.9,4.4,29.1,74.4,8.8,65.4,11.8,42.1,27,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-12.58,8.04,-2.03,-76.24,160640.32,"Extant"
"4","Conopophaga_cearae","Conopophagidae","Passeriformes","Conopophaga_cearae",15.2,9.6,5.2,4.6,26.9,69.6,6.3,65.5,8.8,43,22,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.55,-4,-7.65,-35.9,58582.69,"Extant"
"5","Conopophaga_lineata","Conopophagidae","Passeriformes","Conopophaga_lineata",16.4,8.9,4.9,4,28.1,70,7.8,62.6,11,45.3,25.2,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-32.41,-12.65,-21.94,-48.84,1896972.3,"Extant"
"6","Conopophaga_melanogaster","Conopophagidae","Passeriformes","Conopophaga_melanogaster",20.4,11.4,6.2,5.2,32.7,79.2,9.3,70.4,11.8,41.2,42.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-15.14,-2.02,-7.84,-59.33,911253.95,"Extant"
"7","Conopophaga_melanops","Conopophagidae","Passeriformes","Conopophaga_melanops",16,9.9,5.6,4.9,25.5,65.2,8.6,55.4,13.4,28.3,20.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-27.01,-6.6,-18.32,-41.2,242500.41,"Extant"
"8","Conopophaga_peruviana","Conopophagidae","Passeriformes","Conopophaga_peruviana",17.7,9.9,6.2,4.5,25.6,65.6,11.2,54.7,17.1,30.8,23,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.73,-0.54,-7.11,-71.84,1098743.55,"Extant"
"9","Conopophaga_roberti","Conopophagidae","Passeriformes","Conopophaga_roberti",16.3,9.4,5.7,4.2,26.8,69.9,7.1,62.2,10.2,35.9,20.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.26,-0.58,-4.87,-45.11,686966.07,"Extant"
"10","Ampelioides_tschudii","Cotingidae","Passeriformes","Ampelioides_tschudii",22.6,10.8,7.1,6.2,20.8,100.5,23.9,76.2,23.9,65.5,78.4,"Forest",1,1,"Omnivore","Frugivore","Insessorial",-15.8,10.79,-4.88,-74.95,201035.43,"Extant"
"11","Ampelion_rubrocristatus","Cotingidae","Passeriformes","Ampelion_rubrocristatus",20.5,9.2,5.6,6.8,24.9,113.3,27.8,85.8,24.5,86.2,66.3,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-18.1,11.22,-4.07,-74.7,413439.19,"Extant"
"12","Ampelion_rufaxilla","Cotingidae","Passeriformes","Ampelion_rufaxilla",19.4,8.3,4.9,5.4,21.9,115.8,33,82.8,28.5,80.4,73.9,"Forest",1,1,"Omnivore","Frugivore","Insessorial",-17.77,6.96,-6.32,-73.91,79754.2,"Extant"
"13","Calyptura_cristata","Cotingidae","Passeriformes","Calyptura_cristata",8.5,4.5,3.1,3.8,14.9,47.9,3.8,44.1,7.9,23.2,7.8,NA,1,NA,"Omnivore","Omnivore","Insessorial",-22.49,-22.47,-22.48,-43,3.12,"Extant"
