Phylo,Family,Order,Scientific_name,Mass
Loboparadisea_sericea,Cnemophilidae,Passeriformes,Loboparadisea sericea,67.3
Coereba_flaveola,Coerebidae,Passeriformes,Coereba flaveola,10
Colluricincla_boweri,Colluricinclidae,Passeriformes,Colluricincla boweri,43.8
Colluricincla_harmonica,Colluricinclidae,Passeriformes,Colluricincla harmonica,65.8
Colluricincla_megarhyncha,Colluricinclidae,Passeriformes,Colluricincla megarhyncha,32.3
Colluricincla_sanghirensis,Colluricinclidae,Passeriformes,Colluricincla sanghirensis,32.3
Colluricincla_tenebrosa,Colluricinclidae,Passeriformes,Colluricincla tenebrosa,46
Colluricincla_umbrina,Colluricinclidae,Passeriformes,Colluricincla umbrina,46
Colluricincla_woodwardi,Colluricinclidae,Passeriformes,Colluricincla woodwardi,54.5
Oreoica_gutturalis,Colluricinclidae,Passeriformes,Oreoica gutturalis,62.8
Pitohui_cristatus,Colluricinclidae,Passeriformes,Pitohui cristatus,79
Pitohui_dichrous,Colluricinclidae,Passeriformes,Pitohui dichrous,92.9
Pitohui_ferrugineus,Colluricinclidae,Passeriformes,Pitohui ferrugineus,93.9
Pitohui_incertus,Colluricinclidae,Passeriformes,Pitohui incertus,75
Pitohui_kirhocephalus,Colluricinclidae,Passeriformes,Pitohui kirhocephalus,72
Pitohui_nigrescens,Colluricinclidae,Passeriformes,Pitohui nigrescens,76.9
Conopophaga_ardesiaca,Conopophagidae,Passeriformes,Conopophaga ardesiaca,26.3
Conopophaga_aurita,Conopophagidae,Passeriformes,Conopophaga aurita,26.3
Conopophaga_castaneiceps,Conopophagidae,Passeriformes,Conopophaga castaneiceps,27
Conopophaga_cearae,Conopophagidae,Passeriformes,Conopophaga cearae,22
Conopophaga_lineata,Conopophagidae,Passeriformes,Conopophaga lineata,25.2
Conopophaga_melanogaster,Conopophagidae,Passeriformes,Conopophaga melanogaster,42.5
Conopophaga_melanops,Conopophagidae,Passeriformes,Conopophaga melanops,20.1
Conopophaga_peruviana,Conopophagidae,Passeriformes,Conopophaga peruviana,23
Conopophaga_roberti,Conopophagidae,Passeriformes,Conopophaga roberti,20.8
Corcorax_melanorhamphos,Corcoracidae,Passeriformes,Corcorax melanorhamphos,364
Struthidea_cinerea,Corcoracidae,Passeriformes,Struthidea cinerea,132
Aphelocoma_californica,Corvidae,Passeriformes,Aphelocoma californica,85.7
Aphelocoma_coerulescens,Corvidae,Passeriformes,Aphelocoma coerulescens,77.1
Aphelocoma_insularis,Corvidae,Passeriformes,Aphelocoma insularis,115.8
Aphelocoma_ultramarina,Corvidae,Passeriformes,Aphelocoma ultramarina,113.3
Aphelocoma_unicolor,Corvidae,Passeriformes,Aphelocoma unicolor,124
Calocitta_colliei,Corvidae,Passeriformes,Calocitta colliei,234
Calocitta_formosa,Corvidae,Passeriformes,Calocitta formosa,210
Cissa_chinensis,Corvidae,Passeriformes,Cissa chinensis,126.6
Cissa_hypoleuca,Corvidae,Passeriformes,Cissa hypoleuca,125
Cissa_thalassina,Corvidae,Passeriformes,Cissa thalassina,125
Corvus_albicollis,Corvidae,Passeriformes,Corvus albicollis,894
Corvus_albus,Corvidae,Passeriformes,Corvus albus,524
Corvus_bennetti,Corvidae,Passeriformes,Corvus bennetti,389
Corvus_brachyrhynchos,Corvidae,Passeriformes,Corvus brachyrhynchos,448.8
Corvus_capensis,Corvidae,Passeriformes,Corvus capensis,553
Corvus_caurinus,Corvidae,Passeriformes,Corvus caurinus,390.8
Corvus_corax,Corvidae,Passeriformes,Corvus corax,928
Corvus_corone,Corvidae,Passeriformes,Corvus corone,570
Corvus_coronoides,Corvidae,Passeriformes,Corvus coronoides,644.3
Corvus_crassirostris,Corvidae,Passeriformes,Corvus crassirostris,1135
Corvus_cryptoleucus,Corvidae,Passeriformes,Corvus cryptoleucus,533.5
Corvus_dauuricus,Corvidae,Passeriformes,Corvus dauuricus,208
Corvus_edithae,Corvidae,Passeriformes,Corvus edithae,524
Corvus_enca,Corvidae,Passeriformes,Corvus enca,251
Corvus_florensis,Corvidae,Passeriformes,Corvus florensis,175
Corvus_frugilegus,Corvidae,Passeriformes,Corvus frugilegus,452.1
Corvus_fuscicapillus,Corvidae,Passeriformes,Corvus fuscicapillus,635
Corvus_hawaiiensis,Corvidae,Passeriformes,Corvus hawaiiensis,518.8
Corvus_imparatus,Corvidae,Passeriformes,Corvus imparatus,221
Corvus_jamaicensis,Corvidae,Passeriformes,Corvus jamaicensis,338
Corvus_kubaryi,Corvidae,Passeriformes,Corvus kubaryi,249.9
Corvus_leucognaphalus,Corvidae,Passeriformes,Corvus leucognaphalus,401
Corvus_levaillantii,Corvidae,Passeriformes,Corvus levaillantii,513.1
Corvus_macrorhynchos,Corvidae,Passeriformes,Corvus macrorhynchos,513.1
Corvus_meeki,Corvidae,Passeriformes,Corvus meeki,467
Corvus_mellori,Corvidae,Passeriformes,Corvus mellori,540.4
Corvus_minutus,Corvidae,Passeriformes,Corvus minutus,287.8
Corvus_monedula,Corvidae,Passeriformes,Corvus monedula,246
Corvus_moneduloides,Corvidae,Passeriformes,Corvus moneduloides,277.4
Corvus_nasicus,Corvidae,Passeriformes,Corvus nasicus,401
Corvus_orru,Corvidae,Passeriformes,Corvus orru,508
Corvus_ossifragus,Corvidae,Passeriformes,Corvus ossifragus,284.6
Corvus_palmarum,Corvidae,Passeriformes,Corvus palmarum,289
Corvus_rhipidurus,Corvidae,Passeriformes,Corvus rhipidurus,611
Corvus_ruficollis,Corvidae,Passeriformes,Corvus ruficollis,573.5
Corvus_sinaloae,Corvidae,Passeriformes,Corvus sinaloae,244
Corvus_splendens,Corvidae,Passeriformes,Corvus splendens,292.6
Corvus_tasmanicus,Corvidae,Passeriformes,Corvus tasmanicus,676.3
Corvus_torquatus,Corvidae,Passeriformes,Corvus torquatus,470.5
Corvus_tristis,Corvidae,Passeriformes,Corvus tristis,635
Corvus_typicus,Corvidae,Passeriformes,Corvus typicus,175
Corvus_unicolor,Corvidae,Passeriformes,Corvus unicolor,175
Corvus_validus,Corvidae,Passeriformes,Corvus validus,300
Corvus_woodfordi,Corvidae,Passeriformes,Corvus woodfordi,467
Crypsirina_cucullata,Corvidae,Passeriformes,Crypsirina cucullata,132.5
Crypsirina_temia,Corvidae,Passeriformes,Crypsirina temia,129.5
Cyanocitta_cristata,Corvidae,Passeriformes,Cyanocitta cristata,88
Cyanocitta_stelleri,Corvidae,Passeriformes,Cyanocitta stelleri,128
Cyanocorax_affinis,Corvidae,Passeriformes,Cyanocorax affinis,212
Cyanocorax_beecheii,Corvidae,Passeriformes,Cyanocorax beecheii,193
Cyanocorax_caeruleus,Corvidae,Passeriformes,Cyanocorax caeruleus,272
Cyanocorax_cayanus,Corvidae,Passeriformes,Cyanocorax cayanus,175
Cyanocorax_chrysops,Corvidae,Passeriformes,Cyanocorax chrysops,166
Cyanocorax_cristatellus,Corvidae,Passeriformes,Cyanocorax cristatellus,178
Cyanocorax_cyanomelas,Corvidae,Passeriformes,Cyanocorax cyanomelas,207
Cyanocorax_cyanopogon,Corvidae,Passeriformes,Cyanocorax cyanopogon,146
