Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Colluricincla_boweri,Colluricinclidae,Passeriformes,Colluricincla boweri,26,14.8,6.8,8.1,29.2,103.1,18.9,84.1,18.3,78.8,43.8,Forest,1,1,Carnivore,Invertivore,Insessorial,-19.77,-14.78,-17.33,145.68,30983.14,Extant
Colluricincla_harmonica,Colluricinclidae,Passeriformes,Colluricincla harmonica,26.4,14.6,5.5,7.9,31.1,123.2,23.9,100.5,19.2,102.1,65.8,Forest,2,1,Carnivore,Invertivore,Insessorial,-43.64,-3.46,-25.55,135.15,6919512.58,Extant
Colluricincla_megarhyncha,Colluricinclidae,Passeriformes,Colluricincla megarhyncha,23,13.2,5.3,6.6,25.8,93.1,14.3,81.3,14.9,74.1,32.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-32.5,0.04,-10.03,141.11,1204726.42,Extant
Colluricincla_sanghirensis,Colluricinclidae,Passeriformes,Colluricincla sanghirensis,23.8,12.9,5.7,6.4,23.8,91.8,15.5,76.2,17,78.6,32.3,Forest,1,1,Carnivore,Invertivore,Insessorial,3.49,3.53,3.51,125.55,5.29,Extant
Colluricincla_tenebrosa,Colluricinclidae,Passeriformes,Colluricincla tenebrosa,23.4,13.7,5.3,6.8,30.9,96.3,17,79.3,17.7,73.3,46,Forest,1,1,Carnivore,Invertivore,Insessorial,6.89,8.09,7.45,134.54,456.67,Extant
Colluricincla_umbrina,Colluricinclidae,Passeriformes,Colluricincla umbrina,23.8,12.7,6.7,7.3,31.4,95.8,12.5,83.3,12.7,76.4,46,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.63,-3.08,-4.23,138.87,40629.61,Extant
Colluricincla_woodwardi,Colluricinclidae,Passeriformes,Colluricincla woodwardi,29.9,16.7,5.8,7.2,29.9,123.2,17.4,107.1,13.9,112.1,54.5,Rock,2,1,Carnivore,Invertivore,Terrestrial,-20.07,-11.46,-16.13,131.18,549567.85,Extant
Oreoica_gutturalis,Colluricinclidae,Passeriformes,Oreoica gutturalis,20.3,11.4,5.9,7.8,27.2,101.2,24.3,76.2,24.2,78.3,62.8,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-37.5,-15.12,-27,133,4957954.29,Extant
Pitohui_cristatus,Colluricinclidae,Passeriformes,Pitohui cristatus,25.4,14.3,5.7,9.6,36.8,114.8,17.3,97.4,15.1,79.8,79,Forest,1,1,Carnivore,Invertivore,Terrestrial,-9.99,-0.4,-3.98,139.15,152938.38,Extant
Pitohui_dichrous,Colluricinclidae,Passeriformes,Pitohui dichrous,28.8,17.3,7.5,8.4,31.2,108.2,14.1,92.2,13.2,96.9,92.9,Forest,1,1,Herbivore,Frugivore,Insessorial,-10.65,-0.38,-5.13,141.59,224365.73,Extant
