Phylo,Family,Order,Scientific_name,Mass
Fulica_atra,Rallidae,Gruiformes,Fulica atra,717.1
Nesoclopeus_woodfordi,Rallidae,Gruiformes,Nesoclopeus woodfordi,553.2
Nonnula_sclateri,Bucconidae,Piciformes,Nonnula sclateri,16
Apalis_chariessa,Cisticolidae,Passeriformes,Apalis chariessa,9.2
Todiramphus_tutus,Alcedinidae,Coraciiformes,Todiramphus tutus,42.3
Bolborhynchus_orbygnesius,Psittacidae,Psittaciformes,Bolborhynchus orbygnesius,43.1
Campylorhamphus_trochilirostris,Dendrocolaptidae,Passeriformes,Campylorhamphus trochilirostris,40.8
Paramythia_montium,Melanocharitidae,Passeriformes,Paramythia montium,41.8
Macrosphenus_kempi,Sylviidae,Passeriformes,Macrosphenus kempi,12.6
Strix_fulvescens,Strigidae,Strigiformes,Strix fulvescens,711.5
Mirafra_cantillans,Alaudidae,Passeriformes,Mirafra cantillans,18.7
Anthus_roseatus,Motacillidae,Passeriformes,Anthus roseatus,20.6
Thalassarche_impavida,Diomedeidae,Procellariiformes,Thalassarche impavida,3202.9
Pterodroma_cahow,Procellariidae,Procellariiformes,Pterodroma cahow,246
Pericrocotus_solaris,Campephagidae,Passeriformes,Pericrocotus solaris,14.5
Polioptila_caerulea,Polioptilidae,Passeriformes,Polioptila caerulea,5.8
Corythaixoides_personatus,Musophagidae,Musophagiformes,Corythaixoides personatus,250
Spheniscus_humboldti,Spheniscidae,Sphenisciformes,Spheniscus humboldti,4366.4
Cinclosoma_punctatum,Cinclosomatidae,Passeriformes,Cinclosoma punctatum,113.3
Nesoenas_mayeri,Columbidae,Columbiformes,Nesoenas mayeri,302.8
Amazilia_rosenbergi,Trochilidae,Apodiformes,Amazilia rosenbergi,3.7
Hirundo_dimidiata,Hirundinidae,Passeriformes,Hirundo dimidiata,12.1
Calyptorhynchus_funereus,Psittacidae,Psittaciformes,Calyptorhynchus funereus,674.7
Alethe_choloensis,Turdidae,Passeriformes,Alethe choloensis,41.3
Trachyphonus_erythrocephalus,Ramphastidae,Piciformes,Trachyphonus erythrocephalus,63.5
Chunga_burmeisteri,Cariamidae,Cariamiformes,Chunga burmeisteri,1298
Sakesphorus_melanothorax,Thamnophilidae,Passeriformes,Sakesphorus melanothorax,31.8
Camaroptera_brachyura,Cisticolidae,Passeriformes,Camaroptera brachyura,9.7
Cyanocorax_violaceus,Corvidae,Passeriformes,Cyanocorax violaceus,262
Camptostoma_obsoletum,Tyrannidae,Passeriformes,Camptostoma obsoletum,8.1
Grallaria_erythrotis,Formicariidae,Passeriformes,Grallaria erythrotis,57
Tyrannus_melancholicus,Tyrannidae,Passeriformes,Tyrannus melancholicus,37.4
Nisaetus_philippensis,Accipitridae,Accipitriformes,Nisaetus philippensis,1168
Primolius_maracana,Psittacidae,Psittaciformes,Primolius maracana,256
Myiarchus_sagrae,Tyrannidae,Passeriformes,Myiarchus sagrae,19.3
Ptilonorhynchus_violaceus,Ptilonorhynchidae,Passeriformes,Ptilonorhynchus violaceus,218.9
Campethera_caroli,Picidae,Piciformes,Campethera caroli,44.2
Lopholaimus_antarcticus,Columbidae,Columbiformes,Lopholaimus antarcticus,496.4
Automolus_melanopezus,Furnariidae,Passeriformes,Automolus melanopezus,31.4
Stagonopleura_guttata,Estrildidae,Passeriformes,Stagonopleura guttata,17.6
Carpodacus_thura,Fringillidae,Passeriformes,Carpodacus thura,31
Granatellus_pelzelni,Cardinalidae,Passeriformes,Granatellus pelzelni,11.2
Anas_strepera,Anatidae,Anseriformes,Anas strepera,915.6
Vireo_olivaceus,Vireonidae,Passeriformes,Vireo olivaceus,16.1
